,customer_id,first_order,EndDate,rate,Amount,commission
93425,f0214ebcddaa587605347762769839fb,2017-06-29 09:04:24,2017-08-28 09:04:24,monthly,150,5%
76869,c51e08ffb18c1f0a3a6bd1302aa323dd,2018-07-24 14:37:00,2018-09-22 14:37:00,monthly,150,5%
48119,7c2ea04fa08bad623b28654dfc2801fc,2018-01-23 22:55:38,2018-03-24 22:55:38,monthly,150,5%
30989,4fe821dfbeee2f1b2e32afa525203efa,2017-10-02 18:40:08,2017-12-01 18:40:08,monthly,150,5%
52480,87608b39402a92d8234efb049a82d291,2018-01-16 19:09:09,2018-07-15 19:09:09,half-yearly,450,5%
46562,7820d17bb31debfd2230c07a2028b9c8,2018-03-22 17:18:46,2018-05-21 17:18:46,monthly,150,5%
79476,cbe010a5e1e7e8b5d1241c32f65a865f,2018-07-19 14:48:00,2019-07-14 14:48:00,yearly,900,5%
88824,e448b345bc513a1d73240506700af2b4,2018-02-27 13:35:40,2019-02-22 13:35:40,yearly,900,5%
57710,94c7d5f342e959f15a7142dd17b1e7be,2017-11-24 16:22:04,2018-05-23 16:22:04,half-yearly,450,5%
86710,ded400422478045ec5a02071abaae1c1,2018-02-07 19:04:41,2018-08-06 19:04:41,half-yearly,450,5%
92111,ecbd0c721b58ea5081b6c65c0ef5d0eb,2017-10-13 20:13:48,2017-12-12 20:13:48,monthly,150,5%
93917,f155d0a1b13c95200305066663fd7cad,2017-12-12 20:59:07,2018-02-10 20:59:07,monthly,150,5%
30925,4fbc3c1d3a81df1772e3a8a5a72f4487,2018-05-21 06:47:00,2018-07-20 06:47:00,monthly,150,5%
2975,07b37fbfa3d8fe1c16ace64c754b4b0f,2018-06-28 14:38:00,2018-08-27 14:38:00,monthly,150,5%
23521,3c7715574eb863d82a63267e28c264c4,2018-02-26 21:56:40,2018-08-25 21:56:40,half-yearly,450,5%
35563,5bf58eb83a02d505bd17844c4e0983ec,2018-01-16 20:04:00,2018-03-17 20:04:00,monthly,150,5%
81750,d1ccf8bb54d846b3d81f2705c8e05afb,2017-12-04 21:09:30,2018-02-02 21:09:30,monthly,150,5%
43005,6f22ea7756f7da98045431aef6258c01,2018-07-30 13:48:00,2019-01-26 13:48:00,half-yearly,450,5%
73336,bc0b50b0432842e3512981fce40a5e1f,2018-05-15 15:39:00,2018-07-14 15:39:00,monthly,150,5%
72331,b9a06c236a0668f4320a9c72534e7812,2018-02-22 17:25:12,2019-02-17 17:25:12,yearly,900,5%
29759,4cc238eb7ef21dda1015c1f3a129eeb9,2018-05-10 12:35:00,2019-05-05 12:35:00,yearly,900,5%
52196,86a1b4e2bb98478774726fae917521e2,2018-04-26 09:41:00,2018-10-23 09:41:00,half-yearly,450,5%
64602,a64142e66e1ec74aedc81b5d63874e92,2018-01-15 22:51:50,2018-03-16 22:51:50,monthly,150,5%
33697,5714d4b3037a8b208ac50d4202fa3e67,2018-08-21 12:03:00,2018-10-20 12:03:00,monthly,150,5%
42691,6e5b6ba2e8de70d9e920b541a619ba91,2017-10-18 19:37:31,2018-10-13 19:37:31,yearly,900,5%
64264,a572792aa6ba6ead6491799c102b1b0e,2017-09-15 16:12:44,2017-11-14 16:12:44,monthly,150,5%
37067,5fb9d23a8af73d1d81be9447185a10f7,2017-11-08 19:28:44,2018-11-03 19:28:44,yearly,900,5%
44463,72f7c6ae75d7bb4765dc06b93e1dfd4b,2017-11-27 19:28:36,2018-11-22 19:28:36,yearly,900,5%
29739,4cb9c064b0da6dad9fd6d95af264b2a4,2017-12-21 16:17:32,2018-12-16 16:17:32,yearly,900,5%
77755,c780e173716b253dd27f73f0f738a559,2018-02-27 21:24:02,2018-04-28 21:24:02,monthly,150,5%
93385,f003f5ca3e4902a9d8d5f42792cff857,2018-02-16 17:28:50,2018-08-15 17:28:50,half-yearly,450,5%
32874,54e27473e15984a728b6856d46d3723e,2017-08-25 19:23:15,2018-02-21 19:23:15,half-yearly,450,5%
33560,56b6ff1140f9689464ba8e3bf8b9749e,2018-07-10 13:05:00,2018-09-08 13:05:00,monthly,150,5%
3527,0928439662f8929fd00483ceef12c25a,2018-04-13 00:32:50,2018-06-12 00:32:50,monthly,150,5%
5022,0d0c904a1e7578972a0064a89e21eb9c,2018-01-30 23:12:58,2018-07-29 23:12:58,half-yearly,450,5%
36721,5eecf86c8c40a17f85ba8c96632f2d1c,2017-07-18 13:37:36,2018-01-14 13:37:36,half-yearly,450,5%
52856,885d7e16b3febef0a036aa5ebbba9659,2018-04-24 17:19:26,2018-06-23 17:19:26,monthly,150,5%
93270,efb35f12444917602243c4d65c19cf98,2017-09-15 19:51:52,2018-09-10 19:51:52,yearly,900,5%
52580,87a86ea726adb5f9d23bf68e0b962c3e,2018-04-05 03:43:31,2018-06-04 03:43:31,monthly,150,5%
16829,2b51fc9067066cd728116c01796db41f,2017-07-18 13:42:23,2018-01-14 13:42:23,half-yearly,450,5%
27456,46c2fcd47be22a210f709e1cf4964ed2,2017-05-18 12:01:35,2018-05-13 12:01:35,yearly,900,5%
53911,8b0f99083bbd56d7ff4c162a33d76847,2018-08-09 15:10:00,2019-02-05 15:10:00,half-yearly,450,5%
17083,2bf9abf5f27e13dcaa8c91c036473895,2018-02-09 14:57:34,2018-08-08 14:57:34,half-yearly,450,5%
2185,058f7261062495732fb3c35b0dc6e662,2018-05-28 11:11:00,2018-11-24 11:11:00,half-yearly,450,5%
34915,5a3dff5b019c56fb6a8f16b5bfa25833,2017-08-02 17:39:36,2017-10-01 17:39:36,monthly,150,5%
29616,4c68ac94ddcf13e92380e40b5d56d2e4,2017-07-20 19:12:16,2018-07-15 19:12:16,yearly,900,5%
79350,cb91916ede5670fdd34d3acd31ac21b3,2017-05-25 15:43:49,2018-05-20 15:43:49,yearly,900,5%
54819,8d84bfdee3c404fcc4e5dd59c0caa993,2017-07-20 20:33:56,2018-07-15 20:33:56,yearly,900,5%
972,0273ad500c7050a14ee1d5a79d558605,2018-08-20 14:30:00,2019-02-16 14:30:00,half-yearly,450,5%
11139,1c99df5830f7838be17f9760bd3d2bc5,2017-10-24 13:44:44,2017-12-23 13:44:44,monthly,150,5%
89047,e4d20765e70b7bdc41584e4f7b53b530,2017-08-30 19:42:06,2018-02-26 19:42:06,half-yearly,450,5%
26828,45210550b0f00e247f82f8ed5b08bf4d,2018-03-23 17:14:34,2019-03-18 17:14:34,yearly,900,5%
4773,0c5f776f27bd2e3d271019993998b0d7,2017-10-26 20:52:54,2018-10-21 20:52:54,yearly,900,5%
97594,fb2d636172641ecf88b206885b89d7f6,2018-07-18 14:55:00,2018-09-16 14:55:00,monthly,150,5%
31891,52496ddf0025f7b0ec3cb640a97990f8,2018-01-03 17:34:11,2018-03-04 17:34:11,monthly,150,5%
53585,8a3f837400df24b6818eb20407116034,2018-04-16 12:52:37,2018-10-13 12:52:37,half-yearly,450,5%
39911,672f818c29f764d046b1c0d8ccf26302,2018-07-27 13:26:00,2018-09-25 13:26:00,monthly,150,5%
78856,ca54aaa4768b5a9c668f503810b15aca,2017-10-06 17:13:58,2018-04-04 17:13:58,half-yearly,450,5%
88259,e2db5eee9dbee45330fe8333e109eccd,2017-12-21 17:57:12,2018-02-19 17:57:12,monthly,150,5%
12416,1fff9fa3ca7fc56d7d4fda9b23cd7d14,2018-07-31 12:21:00,2019-07-26 12:21:00,yearly,900,5%
55547,8f4a2aae4e1857316913d995047dd100,2018-05-22 14:12:00,2018-07-21 14:12:00,monthly,150,5%
37766,6185579dbc623698538d6fe899efd639,2018-08-09 15:32:00,2018-10-08 15:32:00,monthly,150,5%
68500,afeececd4c3a402d37337d7f8b73ba12,2018-05-10 10:57:00,2018-11-06 10:57:00,half-yearly,450,5%
93440,f02a9393c5ca1f304f70d91f76a3a585,2018-08-08 11:22:00,2019-02-04 11:22:00,half-yearly,450,5%
67364,ad145ce80d256cb7234084bd8c76a335,2018-05-28 13:37:00,2018-07-27 13:37:00,monthly,150,5%
32768,549b71495b4abb6a6db77aaa5564f593,2018-05-09 12:47:00,2018-07-08 12:47:00,monthly,150,5%
38129,627df80b3c1f086dbc7acca08e714530,2017-04-17 16:18:46,2017-06-16 16:18:46,monthly,150,5%
82772,d475c4d0fc60512dd6c566c7d676d6fe,2018-04-20 19:42:05,2018-06-19 19:42:05,monthly,150,5%
89681,e6680cbc6ea1e3cf07a5803eb1a54e50,2017-05-17 16:02:23,2017-11-13 16:02:23,half-yearly,450,5%
95876,f6a4f5fd1f3e76fb341c7558b76938fd,2017-03-02 16:10:25,2017-05-01 16:10:25,monthly,150,5%
78262,c8cf892530797a54796ba8acf1209885,2017-10-16 21:36:23,2017-12-15 21:36:23,monthly,150,5%
48956,7e2ca73af071679902a9ba14d7c3cee8,2018-06-12 14:15:00,2018-08-11 14:15:00,monthly,150,5%
95858,f698168406d73d68e0a9ed2ed6abe23f,2018-05-21 09:46:00,2018-11-17 09:46:00,half-yearly,450,5%
13495,22a84c58ac535245cd55a66b9d982d05,2018-01-24 22:26:49,2018-07-23 22:26:49,half-yearly,450,5%
15863,28d5ddbe17cf2c62357a3e08db9d6c47,2018-02-28 18:48:45,2018-08-27 18:48:45,half-yearly,450,5%
56778,9265e8abf2494201b1d237dfc1e270e2,2018-05-09 08:33:00,2018-07-08 08:33:00,monthly,150,5%
7312,12ed696c4178efaa9f91a47a654e6093,2017-07-18 16:32:46,2018-01-14 16:32:46,half-yearly,450,5%
96537,f85e2294dc95234e99ced45c8a540649,2018-01-16 21:58:41,2018-03-17 21:58:41,monthly,150,5%
15676,285eb664efba4f42f1c6f141d7d5c941,2018-02-27 17:48:46,2018-04-28 17:48:46,monthly,150,5%
22827,3aacb368d6b1db2b137d99daf9b3a05a,2017-11-27 19:02:31,2018-01-26 19:02:31,monthly,150,5%
61364,9dfce679755956787ec12f175c771224,2017-12-18 20:03:10,2018-12-13 20:03:10,yearly,900,5%
36897,5f5b81ce642e4f5b3dc6685cf9478a39,2017-06-16 18:26:28,2017-12-13 18:26:28,half-yearly,450,5%
23175,3b948253b335dedfe40495c177e2addc,2018-01-24 00:23:35,2019-01-19 00:23:35,yearly,900,5%
29752,4cbed88a67d0cd881ad50fc8c91663ec,2017-05-31 15:58:15,2017-11-27 15:58:15,half-yearly,450,5%
54974,8de47e3c79765207cd3b53d4c95ed949,2018-06-07 14:14:00,2018-08-06 14:14:00,monthly,150,5%
87266,e04fb0ff8c7aef7555088b36b68d77d9,2017-12-22 12:37:54,2018-02-20 12:37:54,monthly,150,5%
20874,35bf42c9aedfbb7735a9cd711296f57f,2017-11-27 17:48:03,2018-01-26 17:48:03,monthly,150,5%
85447,db6174ff0d973672c0de09218a52ce88,2018-01-17 18:43:52,2018-07-16 18:43:52,half-yearly,450,5%
37514,60ed0bdf61ebb2ee39c9b7fa7dbb9ee6,2018-01-15 20:29:48,2018-03-16 20:29:48,monthly,150,5%
85242,dae065b8336e64030d11819d033138ac,2017-01-26 12:06:48,2017-07-25 12:06:48,half-yearly,450,5%
75241,c0f820d99d37773d9afcae7710a9aefa,2018-01-13 02:42:07,2019-01-08 02:42:07,yearly,900,5%
82789,d4803d4990450b07bb8241bbe150cd31,2018-04-12 15:47:52,2018-10-09 15:47:52,half-yearly,450,5%
7765,141f5670b7004a1251c9d0b45688fbfb,2018-03-29 21:38:31,2018-05-28 21:38:31,monthly,150,5%
96382,f7fa32b05ba9474a22c7420310611fa5,2018-06-21 13:52:00,2018-08-20 13:52:00,monthly,150,5%
73278,bbeac8b201688b9c1ae8b64ff59f8b76,2018-01-13 00:58:42,2019-01-08 00:58:42,yearly,900,5%
78201,c8a6be2c61ccd0a754f9050ba710bf67,2018-06-11 11:05:00,2018-08-10 11:05:00,monthly,150,5%
32864,54dd8cd0f421dae2d107f605c5e8f7fe,2018-05-15 10:43:00,2018-11-11 10:43:00,half-yearly,450,5%
20406,3491062b95387d22e7378f83a9866e69,2017-11-16 20:19:44,2018-05-15 20:19:44,half-yearly,450,5%
88264,e2dc5ed3eaae2eae1e1681e43e8968d8,2018-05-11 13:46:00,2018-07-10 13:46:00,monthly,150,5%
3029,07d64c600dc999b465dd059929063cc9,2017-03-31 20:00:09,2018-03-26 20:00:09,yearly,900,5%
27779,479ca8d1cff55ed96a8668fbcad81524,2018-03-27 02:04:42,2019-03-22 02:04:42,yearly,900,5%
32022,529de59b3db538f52b46f5c3d0cf1877,2018-01-26 21:32:24,2018-07-25 21:32:24,half-yearly,450,5%
15778,289fb34f7ddd8341499fa6d01022c84a,2018-03-12 23:16:28,2018-05-11 23:16:28,monthly,150,5%
29952,4d3f111a7518b43408f6cf2d1e3979fd,2017-11-29 18:12:05,2018-01-28 18:12:05,monthly,150,5%
50926,83564e084d6459291605b2d7fd3ef239,2018-01-08 18:52:37,2018-07-07 18:52:37,half-yearly,450,5%
9840,194be1861098744d7b0a1b72b54ec587,2017-09-15 10:25:35,2018-03-14 10:25:35,half-yearly,450,5%
92568,ede6d420b95b2d4145c3e0de07483597,2017-05-16 17:24:45,2017-07-15 17:24:45,monthly,150,5%
46723,788bac7c5c5f205ccd71fcc1033cc29f,2018-06-19 13:06:00,2018-08-18 13:06:00,monthly,150,5%
70662,b5672da69f806d8bc4eea831365f07da,2017-11-28 20:18:09,2018-05-27 20:18:09,half-yearly,450,5%
12108,1f26a8a77f3a3ba3fe836e46e4990c36,2018-03-27 19:48:51,2019-03-22 19:48:51,yearly,900,5%
56655,9210eb9f6e2fa5dc6962073cb575f28b,2018-08-21 14:07:00,2019-02-17 14:07:00,half-yearly,450,5%
48018,7bf09d9d05cb60c4a07f15ba0b5d86c8,2018-05-14 16:40:00,2019-05-09 16:40:00,yearly,900,5%
59922,9a46b6d481ab33d2f3f90472f526f210,2017-11-21 20:12:10,2018-01-20 20:12:10,monthly,150,5%
91576,eb40cea0854ef03e33b8d95642ffabf7,2018-01-26 18:41:54,2018-07-25 18:41:54,half-yearly,450,5%
14317,24cddae2e51926ae7ac40c628a8338ca,2017-07-26 18:46:35,2018-01-22 18:46:35,half-yearly,450,5%
25415,418a04c8b80afd21264a413c8c9efd18,2017-12-26 14:52:29,2018-02-24 14:52:29,monthly,150,5%
75074,c08931eb5c4bf40f48501b0d434f8c40,2017-12-13 23:54:33,2018-12-08 23:54:33,yearly,900,5%
40617,690ac6352bb46041d9e45639b236c655,2018-07-19 13:29:00,2019-01-15 13:29:00,half-yearly,450,5%
31477,5136f67979625c2a7a41a1b221d53b94,2018-03-26 23:31:05,2018-05-25 23:31:05,monthly,150,5%
72584,ba398201ea0b47e63eee02504c0f81f6,2017-09-19 19:07:59,2018-09-14 19:07:59,yearly,900,5%
28292,48f33d2f74cd85093145532d5b9b14e9,2018-01-23 23:48:28,2018-07-22 23:48:28,half-yearly,450,5%
47873,7b962215806a3c1e6bdb02a9489ec486,2018-04-10 21:33:25,2019-04-05 21:33:25,yearly,900,5%
19930,335e8d4375004a6065aa3c1d2190995d,2017-09-25 18:21:42,2018-03-24 18:21:42,half-yearly,450,5%
33171,55a736fdef3f978c92f0477297b92973,2017-04-24 10:35:41,2018-04-19 10:35:41,yearly,900,5%
38840,645d58724df0468042044d31e6adf721,2018-04-23 15:39:03,2018-10-20 15:39:03,half-yearly,450,5%
11052,1c5a1cf9139b1ee9d22154f6a1af7954,2018-06-25 15:01:00,2019-06-20 15:01:00,yearly,900,5%
38416,63433f6eb6f0a79cbb24e940d0ab17ad,2017-01-11 15:35:53,2017-03-12 15:35:53,monthly,150,5%
97110,f9efa1e08ec36a3bd42cdeb68995af0b,2018-03-05 20:33:19,2018-09-01 20:33:19,half-yearly,450,5%
77430,c69f8b33e62ecb30ff78ae46d7fb9241,2017-11-28 23:17:09,2018-05-27 23:17:09,half-yearly,450,5%
26925,4567341a3ba630a541ee3c2bd0959303,2018-05-10 09:30:00,2019-05-05 09:30:00,yearly,900,5%
33169,55a365cf4d82f1b6e044a0da88b681a1,2018-04-23 16:52:44,2018-06-22 16:52:44,monthly,150,5%
14847,26280c295879b204d2d3c0452e0fed88,2017-08-15 19:31:14,2018-02-11 19:31:14,half-yearly,450,5%
42015,6cc7634e5230927a764a9047700c9bba,2017-01-26 12:04:05,2018-01-21 12:04:05,yearly,900,5%
23181,3b97b8e5873284156a95b6b8d11a9999,2017-02-16 15:25:41,2017-04-17 15:25:41,monthly,150,5%
61225,9da1a95a9bcbab2eb1a244f4b15d6cdd,2018-03-26 19:58:49,2019-03-21 19:58:49,yearly,900,5%
80456,ce738845c4d6188c95f2091d90eac164,2018-06-04 14:19:00,2018-08-03 14:19:00,monthly,150,5%
27037,45ac355881eae1380862dca061dac776,2017-11-30 15:19:15,2018-01-29 15:19:15,monthly,150,5%
20288,34497fb7afde431c36bfe5d62cb39716,2018-04-30 14:44:00,2018-06-29 14:44:00,monthly,150,5%
1728,04655b7e4d734d1be30329db64951a8d,2018-03-20 17:27:35,2018-05-19 17:27:35,monthly,150,5%
23861,3d65e1ccf1a3b05e204ed59e8e14af82,2017-09-14 17:22:49,2018-09-09 17:22:49,yearly,900,5%
70044,b3eb9775cff9b90a79574e3a3b992d08,2018-02-27 14:19:13,2019-02-22 14:19:13,yearly,900,5%
74187,be4bac7250c87be901bcda46aefafde6,2018-08-10 14:15:00,2019-02-06 14:15:00,half-yearly,450,5%
26810,451a982c3efe1146678794420b529d0d,2018-07-18 12:00:00,2019-07-13 12:00:00,yearly,900,5%
92768,ee6607298affc3b56c7105a97e0fb218,2017-02-06 14:25:32,2017-04-07 14:25:32,monthly,150,5%
22763,3a7ee02ff6c9374344b9a60592bb1648,2018-05-09 15:48:00,2018-07-08 15:48:00,monthly,150,5%
21933,386e4ddbf54f557c9d251e49d32ca7c2,2017-03-17 10:41:46,2018-03-12 10:41:46,yearly,900,5%
58665,9719596a7621bf849efb0037dafdaa62,2018-03-20 21:22:29,2019-03-15 21:22:29,yearly,900,5%
11899,1e93dd7ed89b9bb680c296b4aaef62f5,2017-10-17 14:19:28,2018-10-12 14:19:28,yearly,900,5%
30221,4dd9950f7a2c3bd094140d7ac720a641,2017-09-25 19:27:27,2018-03-24 19:27:27,half-yearly,450,5%
63988,a4c045252d9ee400da61eb5b562aa8e1,2018-04-24 16:58:37,2018-10-21 16:58:37,half-yearly,450,5%
55298,8eb0e0af25f96786aee5d91f687443e9,2018-04-09 20:08:49,2018-10-06 20:08:49,half-yearly,450,5%
31731,51e9c53f076583fdfc867b55eb64d93b,2018-02-26 21:16:47,2018-08-25 21:16:47,half-yearly,450,5%
55020,8df8c71565b1b7c5d8bec24a7052ba2d,2017-11-28 18:41:04,2018-11-23 18:41:04,yearly,900,5%
72267,b9736d05df2bbda10cacc254733cf9cd,2018-05-22 14:28:00,2018-11-18 14:28:00,half-yearly,450,5%
45685,75f2aa057dcfd5d621262193e3db1d34,2017-12-07 18:18:53,2018-02-05 18:18:53,monthly,150,5%
30888,4fa46009da47af602ccafa5acbc6d49b,2017-05-31 08:22:17,2018-05-26 08:22:17,yearly,900,5%
55283,8ea66ae4d3f2dc12f923574e837df7b3,2018-08-23 14:09:00,2019-02-19 14:09:00,half-yearly,450,5%
93852,f129d18d11f1018ce2e6d436f24649fa,2017-12-13 17:51:35,2018-12-08 17:51:35,yearly,900,5%
71910,b87e13936750898a0ae99e6436f4e07c,2018-06-22 12:46:00,2018-08-21 12:46:00,monthly,150,5%
72503,ba047c458b551f90b71a844f404d597e,2017-10-24 18:08:07,2017-12-23 18:08:07,monthly,150,5%
30700,4f2861247d5aadcb075836a5e43bed28,2018-07-18 13:25:00,2018-09-16 13:25:00,monthly,150,5%
75247,c0fc852fa9977d4c42831774ed0a7eba,2018-08-28 14:58:00,2019-02-24 14:58:00,half-yearly,450,5%
55476,8f1a8643c245e8b74e2e6535ca5c4e19,2018-02-23 23:59:23,2018-08-22 23:59:23,half-yearly,450,5%
40912,69d276992a5f4f57011c8f24b59d0b9f,2018-08-27 15:04:00,2019-08-22 15:04:00,yearly,900,5%
69031,b1373bd6563737bf205587f4d78859cd,2018-02-15 22:53:32,2018-04-16 22:53:32,monthly,150,5%
66758,ab9fcafc7cc99c1bacb2ba5ef4442d13,2017-11-07 14:26:36,2018-05-06 14:26:36,half-yearly,450,5%
6007,0f9fc50c9cc8ee06c5d2445655e4bca0,2018-05-22 08:06:00,2019-05-17 08:06:00,yearly,900,5%
505,014f4ea4b3ed7aaf2db2f8acb6d96e75,2018-03-27 18:12:55,2018-05-26 18:12:55,monthly,150,5%
57755,94e3118c33c6c87d5b4935c8c378f9b1,2018-04-11 20:38:43,2018-06-10 20:38:43,monthly,150,5%
97682,fb6b9551c464929e23f2b8061f5ca7e6,2017-11-20 14:28:57,2018-01-19 14:28:57,monthly,150,5%
3628,09714b907f40049ef6c7e0db105e5fa8,2018-07-31 14:45:00,2018-09-29 14:45:00,monthly,150,5%
63210,a2c1c3470d4d505268abe4de69b6a9a6,2018-05-15 12:47:00,2018-11-11 12:47:00,half-yearly,450,5%
11423,1d5df2931e99249a390507fe1309db45,2018-07-12 15:11:00,2019-01-08 15:11:00,half-yearly,450,5%
1731,0467e821c75897daf0241cf81a4b5854,2018-03-26 20:46:32,2019-03-21 20:46:32,yearly,900,5%
61952,9f6fb6b6e0604706e549f43b15c9c0d9,2018-02-28 23:13:26,2018-08-27 23:13:26,half-yearly,450,5%
42305,6d71f3c2700fcf29edc036e602af2088,2018-02-08 02:08:41,2019-02-03 02:08:41,yearly,900,5%
81562,d152e59310ba4b2f8a71a0c919f1c4d2,2018-08-06 12:14:00,2019-08-01 12:14:00,yearly,900,5%
94756,f37d8e47c4050ed9d3aa6ac517c4e7a3,2017-11-13 13:34:43,2018-11-08 13:34:43,yearly,900,5%
85641,dbf791ec86ecb06477b1e6d841ec9b3e,2017-09-27 23:12:19,2017-11-26 23:12:19,monthly,150,5%
27866,47d656c08a282ec5ab4c1f18303a3a30,2018-06-12 14:22:00,2019-06-07 14:22:00,yearly,900,5%
29830,4cf7876fbfdf18add1ba9b9bb9de58d8,2017-11-28 20:33:32,2018-05-27 20:33:32,half-yearly,450,5%
61249,9db2f7ab1e4165f06c5d4819b0abebb4,2018-04-09 22:05:33,2019-04-04 22:05:33,yearly,900,5%
62861,a1c779cddccf5ffe60e543d3ce0dc477,2017-11-28 19:48:46,2018-11-23 19:48:46,yearly,900,5%
45316,751dbc90791ddaeead2e309fcca2f009,2017-12-08 14:57:04,2018-02-06 14:57:04,monthly,150,5%
41602,6b9e7f78cdd93066ccea04e7b1b4d2de,2017-05-09 13:22:12,2017-11-05 13:22:12,half-yearly,450,5%
84478,d8d4bfa3aa3d6a7fa3760a50e532383f,2018-04-25 15:07:00,2018-10-22 15:07:00,half-yearly,450,5%
65852,a9540572aa20e37a51ce914aad8fedce,2017-11-14 15:56:48,2018-11-09 15:56:48,yearly,900,5%
80092,cd7d8f09e2df0831f3af452c2b2bfd1b,2018-08-08 14:59:00,2019-08-03 14:59:00,yearly,900,5%
6043,0fb56b1a2ceaf968adbf6fa86bf080db,2018-08-10 14:33:00,2019-02-06 14:33:00,half-yearly,450,5%
80666,cf02015fe41754704ea76138d646a4a2,2018-03-27 22:22:26,2019-03-22 22:22:26,yearly,900,5%
10141,1a187e61bc83d03ff6e887048de8b269,2018-06-22 13:26:00,2018-08-21 13:26:00,monthly,150,5%
48440,7cec1a9545939929a4a4261575ed421b,2018-03-06 17:53:16,2019-03-01 17:53:16,yearly,900,5%
1901,04d55ff9d3701dc37126c0d9690b405d,2017-02-14 10:47:25,2018-02-09 10:47:25,yearly,900,5%
77961,c7fef5622833f398d9fbd2929c9bd3ff,2017-09-29 13:35:04,2018-03-28 13:35:04,half-yearly,450,5%
49911,80aab86612ad0adb740bd10897deaffa,2018-04-17 17:33:00,2018-10-14 17:33:00,half-yearly,450,5%
17376,2cc0306551b1482603053de8ae5719fc,2018-06-11 07:01:00,2018-08-10 07:01:00,monthly,150,5%
80199,cdc3c03dcbbe739ea43815cecb49523d,2018-08-02 05:27:00,2018-10-01 05:27:00,monthly,150,5%
6088,0fca9e1dfa39a880a6f0ec6ecbc774ad,2017-04-04 14:13:29,2017-06-03 14:13:29,monthly,150,5%
2348,06068b0a0ad0813d270fee5969eafd5b,2018-04-06 19:28:42,2018-10-03 19:28:42,half-yearly,450,5%
89251,e558a99543d50f390898597de98fd6a9,2017-08-10 19:38:04,2017-10-09 19:38:04,monthly,150,5%
82680,d43036b76d556d450d0ffe9ba9368ee8,2017-05-11 09:26:47,2017-11-07 09:26:47,half-yearly,450,5%
83060,d531a466916c3e5000d9464bce50c199,2017-07-04 14:13:36,2017-09-02 14:13:36,monthly,150,5%
90074,e7644b4abf70acf83a1766709dff7300,2018-01-08 21:14:28,2018-03-09 21:14:28,monthly,150,5%
20322,345cbe7930bb1ef014c4fb2881d41c21,2017-10-20 14:49:59,2018-10-15 14:49:59,yearly,900,5%
15243,2732f28bcf2cc84ee0b5ff194170d79c,2017-07-24 19:27:46,2017-09-22 19:27:46,monthly,150,5%
29966,4d45f5b1f311c511f6410974f00b7e23,2018-03-02 14:17:55,2018-05-01 14:17:55,monthly,150,5%
4657,0c16001ff6d159f5e4dc4da48e67905c,2017-05-26 08:57:48,2017-11-22 08:57:48,half-yearly,450,5%
